Field of Study,Tuition Amount (CAD)
Education,4947
"Visual and performing arts, and communications technologies",5926
Humanities,5754
"Social and behavioural sciences, and legal studies",5725
Law,12910
"Business, management and public administration",6991
Physical and life sciences and technologies,6246
"Mathematics, computer and information sciences",6953
Engineering,8184
Architecture,6519
"Agriculture, natural resources and conservation",5820
Dentistry,22731
Medicine,14604
Nursing,5822
Pharmacy,11373
Veterinary medicine,14374
Optometry,10735
"Other health, parks, recreation and fitness",6083
"Personal, protective and transportation services",5828
